age,attrition,businesstravel,dailyrate,distancefromhome,education,employeenumber,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
53,no,,556.26,1,1,332,4,F,3,2,sales executive,1,single,4492.84,11681.39,7,desconocido,20,4,4,part time,0,18,2,4,14,8,10,1970,53914.11,no
37,no,travel_rarely,973.35,3,3,333,3,M,3,3,manufacturing director,3,married,7861.67,20440.33,1,no,15,,3,part time,1,,2,3,10,7,8,1986,94340.0,yes
54,no,,1032.49,19,4,334,3,M,3,3,human resources,2,,8339.32,21682.23,2,desconocido,15,,3,part time,1,16,1,4,9,7,1,1969,100071.84,yes
38,no,travel_rarely,556.26,7,4,335,4,F,2,2,sales executive,4,,4492.84,11681.39,0,no,20,,1,part time,0,,2,3,7,0,5,1985,53914.11,yes
29,no,,290.04,1,4,336,2,M,1,1,research scientist,4,divorced,2342.59,6090.75,1,desconocido,18,3,4,part time,1,10,5,3,10,2,8,1994,28111.13,yes
34,no,,1032.49,9,3,337,4,F,2,3,healthcare representative,2,,4492.84,21682.23,1,desconocido,14,3,2,part time,0,9,3,4,8,7,7,1989,100071.84,no
39,no,,556.26,2,4,338,4,F,2,2,healthcare representative,3,single,4492.84,11681.39,1,no,11,3,1,part time,0,20,4,3,20,11,10,1984,53914.11,no
32,no,,556.73,10,3,339,4,M,3,2,sales executive,4,,4496.67,11691.33,1,desconocido,12,3,4,full time,0,10,2,2,10,0,8,1991,53960.0,yes
38,no,travel_rarely,556.26,1,4,340,2,F,4,2,healthcare representative,4,,4492.84,11681.39,0,desconocido,13,3,3,part time,0,10,4,,9,1,8,1985,53914.11,yes
27,no,travel_rarely,1032.49,1,2,341,3,F,3,3,manufacturing director,1,married,8339.32,21682.23,1,desconocido,11,3,4,part time,0,9,3,3,9,0,7,1996,100071.84,no
32,no,travel_rarely,1151.33,3,2,342,3,F,3,3,research director,4,single,9299.17,24177.83,3,desconocido,15,3,4,full time,0,10,6,3,7,7,7,1991,111590.0,no
47,no,,511.75,35,4,343,4,M,3,2,sales executive,1,single,4133.33,10746.67,2,desconocido,12,3,4,,0,20,2,3,7,1,7,1976,53914.11,no
27,no,travel_frequently,907.21,10,2,344,4,M,3,3,manufacturing director,1,,7327.5,19051.5,1,no,21,4,3,part time,2,9,4,2,9,1,7,1996,87930.0,yes
41,no,,1979.82,1,3,345,4,M,2,5,manager,3,,4492.84,41576.17,1,no,12,,2,full time,1,22,3,3,22,2,10,1982,191890.0,no
28,yes,,228.63,35,2,346,35,F,1,1,research scientist,2,,1846.67,4801.33,7,yes,13,3,4,part time,0,10,4,3,7,3,7,1995,22160.0,yes
36,no,,1208.48,8,3,347,1,F,4,3,research director,1,married,9760.83,25378.17,9,desconocido,14,3,1,full time,1,10,2,3,8,0,5,1987,117130.0,no
30,no,,547.24,27,5,348,3,M,3,2,sales executive,4,divorced,4420.0,11492.0,7,no,23,,4,,1,10,2,2,8,7,7,1993,53040.0,yes
56,no,travel_rarely,1145.55,9,3,349,3,M,3,4,healthcare representative,4,married,9252.5,24056.5,7,no,11,3,3,full time,0,30,1,2,10,1,1,1967,111030.0,no
45,no,travel_rarely,684.25,2,2,350,2,M,1,2,sales representative,3,single,5526.67,14369.33,0,no,13,3,1,full time,0,9,3,3,8,3,1,1978,66320.0,yes
36,no,non-travel,782.79,8,4,351,1,M,2,3,sales executive,1,single,6322.5,16438.5,1,desconocido,15,3,2,part time,0,10,1,3,10,0,9,1987,75870.0,no
29,no,,447.26,27,3,352,2,F,3,2,healthcare representative,3,married,3612.5,9392.5,4,no,12,3,1,part time,1,11,3,2,8,1,1,1994,43350.0,yes
38,no,,616.98,2,4,353,1,F,4,2,manufacturing director,1,single,4983.33,12956.67,6,desconocido,12,3,4,full time,0,17,2,3,15,4,12,1985,59800.0,yes
40,no,,437.87,13,2,354,13,F,4,2,healthcare representative,2,,3536.67,9195.33,1,no,24,4,4,,1,8,2,3,8,3,7,1983,53914.11,yes
42,no,travel_frequently,1973.98,8,3,355,2,M,3,5,manager,4,,15943.72,41453.67,1,no,13,3,2,,1,24,4,2,24,14,9,1981,53914.11,yes
36,no,travel_rarely,539.4,1,3,356,3,F,3,2,manufacturing director,2,,4356.67,11327.33,0,desconocido,15,3,1,part time,1,,2,3,9,0,5,1987,52280.0,no
29,no,travel_rarely,278.57,23,2,357,3,M,4,1,research scientist,3,married,2250.0,5850.0,1,desconocido,24,4,3,part time,1,10,3,3,10,0,7,1994,27000.0,yes
55,yes,,556.26,2,1,358,3,M,3,2,sales executive,4,single,4492.84,11681.39,4,desconocido,16,3,3,part time,0,,3,2,9,7,3,1968,53914.11,no
28,no,,556.26,2,4,359,2,F,3,2,sales executive,2,,4492.84,11681.39,1,desconocido,20,4,1,part time,0,8,2,3,8,7,5,1995,53914.11,yes
26,yes,,244.11,5,2,360,3,F,2,1,research scientist,3,married,1971.67,5126.33,1,desconocido,14,3,1,part time,1,8,2,3,8,1,7,1997,23660.0,yes
44,no,,290.04,9,2,361,2,M,3,1,research scientist,1,,2342.59,6090.75,1,yes,13,3,4,,0,8,0,3,8,7,1,1979,53914.11,yes
41,yes,,290.04,2,4,362,2,F,1,1,laboratory technician,4,divorced,2342.59,6090.75,4,yes,13,3,3,,1,,1,2,7,1,0,1982,53914.11,yes
31,no,travel_rarely,240.29,7,4,363,2,M,2,1,sales representative,3,,1940.83,5046.17,3,desconocido,15,,2,part time,0,,2,4,7,5,2,1992,23290.0,no
26,no,travel_frequently,443.03,28,3,364,28,M,2,2,sales executive,1,,4492.84,9303.67,1,desconocido,12,3,2,part time,0,,2,3,7,0,7,1997,42940.0,yes
31,no,,556.26,12,3,365,4,F,3,2,healthcare representative,4,,4492.84,11681.39,0,desconocido,11,3,3,part time,2,10,2,1,9,8,5,1992,53914.11,no
32,no,,693.85,3,4,366,3,F,3,2,manufacturing director,1,married,4492.84,14570.83,1,desconocido,12,3,3,full time,1,8,2,4,8,6,3,1991,67250.0,no
36,yes,travel_rarely,1065.28,3,1,367,3,M,2,3,sales executive,4,married,8604.17,22370.83,1,desconocido,11,,1,full time,1,,6,3,16,3,7,1987,103250.0,no
45,no,non-travel,458.82,47,2,368,47,M,3,2,laboratory technician,2,,4492.84,9635.17,1,desconocido,12,3,2,part time,0,,5,2,9,0,8,1978,44470.0,yes
39,no,travel_rarely,1032.49,2,5,369,1,M,4,3,sales executive,3,single,4492.84,21682.23,0,no,18,3,4,part time,0,9,3,3,8,0,7,1984,100071.84,no
36,no,non-travel,556.26,8,4,370,1,M,3,2,sales executive,4,divorced,4492.84,11681.39,4,no,13,,4,part time,2,12,3,3,7,0,7,1987,53914.11,yes
46,no,,1118.93,7,2,371,4,M,3,3,manufacturing director,3,,9037.5,23497.5,6,desconocido,13,3,2,full time,1,,3,3,8,0,7,1977,108450.0,no
54,no,travel_rarely,1032.49,17,3,372,3,F,3,3,manufacturing director,3,,8339.32,21682.23,8,desconocido,11,,3,part time,1,22,2,3,10,0,8,1969,100071.84,yes
30,no,travel_rarely,1032.49,8,2,373,2,F,4,3,research director,1,,8339.32,21682.23,0,yes,12,3,3,part time,3,,4,2,8,1,7,1993,100071.84,yes
26,no,,564.57,2,2,374,4,M,4,2,manufacturing director,4,married,4492.84,11856.0,1,desconocido,12,3,2,full time,0,,2,3,8,1,3,1997,54720.0,no
55,no,travel_frequently,658.77,18,4,375,3,M,3,2,healthcare representative,2,married,5320.83,13834.17,3,desconocido,14,3,4,full time,2,,3,3,8,6,7,1968,63850.0,yes
50,no,non-travel,654.85,1,3,376,4,F,3,2,sales executive,3,married,4492.84,13751.83,0,desconocido,12,3,1,full time,1,,3,3,18,0,13,1973,63470.0,yes
32,no,non-travel,290.04,29,4,377,4,F,3,1,laboratory technician,3,single,4492.84,6090.75,9,no,12,3,2,part time,0,10,2,3,8,7,7,1991,28111.13,yes
53,no,travel_frequently,776.39,2,3,378,3,F,2,3,sales executive,2,,4492.84,16304.17,2,desconocido,12,3,1,part time,1,30,2,,15,6,12,1970,75250.0,yes
40,no,travel_rarely,556.26,26,3,379,3,M,3,2,sales executive,1,married,4492.84,11681.39,1,desconocido,14,3,2,part time,1,8,3,2,7,7,5,1983,53914.11,no
55,no,,1582.77,2,1,380,3,M,2,4,manager,1,single,12783.92,33238.2,7,no,15,3,2,,0,,3,4,9,6,2,1968,53914.11,yes
28,yes,non-travel,1032.49,24,2,381,2,M,2,3,healthcare representative,1,single,8339.32,21682.23,1,no,12,3,1,part time,0,10,2,2,10,1,9,1995,100071.84,no
28,no,travel_rarely,377.62,10,3,382,3,F,3,2,research scientist,3,single,3050.0,7930.0,3,no,13,3,4,,0,,4,4,8,1,7,1995,53914.11,yes
35,yes,,1032.49,4,3,383,4,M,3,3,sales executive,1,,4492.84,21682.23,0,desconocido,22,4,1,part time,0,9,2,3,8,4,7,1988,100071.84,yes
33,yes,travel_frequently,556.26,36,4,384,36,F,2,2,research scientist,3,single,4492.84,11681.39,1,no,22,4,2,part time,0,14,4,3,13,3,8,1990,53914.11,yes
25,yes,,290.04,4,1,385,4,M,3,1,laboratory technician,4,married,4492.84,6090.75,1,desconocido,15,,2,part time,1,7,3,4,7,5,6,1998,28111.13,yes
38,no,,901.75,10,4,386,3,M,2,3,sales executive,3,,7283.33,18936.67,0,yes,14,3,2,part time,2,9,2,,8,2,7,1985,87400.0,yes
28,no,,1032.49,12,3,387,12,F,3,3,manufacturing director,2,,4492.84,21682.23,0,desconocido,17,3,2,part time,3,,3,2,9,1,7,1995,100071.84,yes
43,no,travel_frequently,1032.49,27,3,388,3,F,3,3,manufacturing director,1,married,4492.84,21682.23,8,no,11,3,3,part time,1,18,1,3,8,0,1,1980,100071.84,no
39,yes,travel_frequently,1582.77,2,3,389,1,M,3,4,healthcare representative,4,,12783.92,33238.2,7,no,11,3,4,full time,3,21,4,3,18,11,5,1984,153407.07,no
40,no,travel_rarely,1973.98,14,3,390,3,M,2,5,research director,3,,4492.84,41453.67,1,no,14,,1,full time,0,,2,,20,4,9,1983,191324.62,yes
29,no,travel_rarely,556.26,8,1,391,2,M,2,2,manufacturing director,4,married,4492.84,11681.39,1,desconocido,15,3,3,,1,10,2,2,10,1,2,1994,53914.11,yes
40,no,,1392.75,32,4,392,2,F,3,3,research director,3,,11249.17,29247.83,9,no,17,3,3,full time,0,20,3,2,18,2,13,1983,134990.0,no
26,no,travel_rarely,290.04,3,4,393,1,M,4,1,laboratory technician,4,,2342.59,6090.75,1,desconocido,22,4,2,part time,1,8,2,3,8,0,7,1997,28111.13,yes
35,no,travel_rarely,1032.49,2,3,394,3,M,2,3,manufacturing director,2,divorced,8339.32,21682.23,2,no,18,3,2,,1,15,2,4,7,6,4,1988,53914.11,yes
53,no,,1973.98,7,2,395,4,F,3,5,manager,3,divorced,15943.72,41453.67,3,no,18,3,2,full time,1,26,6,3,7,4,7,1970,191324.62,no
35,no,,556.26,17,4,396,3,M,3,2,sales executive,1,,4492.84,11681.39,3,desconocido,15,3,4,part time,3,15,2,3,7,1,7,1988,53914.11,yes
33,no,,556.26,25,3,397,2,F,3,2,sales executive,3,,4492.84,11681.39,1,no,12,3,1,part time,1,,3,2,10,0,1,1990,53914.11,yes
36,no,,290.04,6,4,398,3,M,1,1,laboratory technician,3,divorced,4492.84,6090.75,1,no,14,3,3,part time,1,,4,3,7,1,7,1987,28111.13,yes
30,no,travel_rarely,360.18,7,4,399,3,M,3,2,laboratory technician,3,divorced,2909.17,7563.83,1,desconocido,13,,1,part time,3,,4,2,10,8,9,1993,34910.0,yes
60,no,,538.57,29,4,400,29,M,4,2,sales executive,4,divorced,4350.0,11310.0,0,desconocido,18,3,2,,1,12,3,3,11,1,9,1963,53914.11,yes
32,no,,556.26,2,2,401,4,F,3,2,research scientist,3,single,4492.84,11681.39,4,yes,14,3,4,part time,0,10,2,3,8,0,7,1991,53914.11,no
36,no,,1057.75,1,3,402,3,F,1,3,manufacturing director,1,divorced,8543.33,22212.67,2,yes,21,4,3,full time,1,17,2,3,7,7,7,1987,102520.0,yes
27,no,travel_rarely,290.04,14,3,403,1,M,3,1,research scientist,1,,2342.59,6090.75,1,desconocido,14,3,4,,2,,3,2,9,6,8,1996,53914.11,yes
43,no,,2036.67,3,3,404,3,M,1,5,research director,4,,16450.0,42770.0,3,no,14,3,2,full time,1,,2,3,8,0,7,1980,197400.0,yes
29,no,travel_rarely,1582.77,1,3,405,4,F,2,4,research director,4,divorced,4492.84,33238.2,3,no,14,3,2,full time,2,9,2,2,7,1,7,1994,153407.07,yes
59,no,,1032.49,24,4,406,24,M,3,3,manufacturing director,4,single,8339.32,21682.23,6,no,12,3,4,part time,0,,6,2,9,5,4,1964,100071.84,no
43,no,travel_rarely,1032.49,4,4,407,4,F,2,3,sales executive,4,single,8339.32,21682.23,3,no,14,3,4,part time,0,23,3,4,21,15,17,1980,100071.84,yes
44,yes,travel_rarely,1032.49,15,3,408,1,F,3,3,healthcare representative,4,married,8339.32,21682.23,1,desconocido,11,3,4,part time,1,,2,3,10,0,5,1979,100071.84,yes
29,yes,,290.04,7,3,409,2,F,3,1,laboratory technician,3,divorced,2342.59,6090.75,3,yes,13,3,1,,2,10,2,3,7,7,7,1994,53914.11,yes
32,no,travel_rarely,640.61,8,3,410,3,M,4,2,sales executive,4,married,5174.17,13452.83,1,desconocido,15,3,3,full time,2,,4,4,10,0,8,1991,62090.0,no
36,no,travel_rarely,731.92,10,4,411,4,F,3,3,healthcare representative,3,married,4492.84,15370.33,3,no,12,3,1,part time,0,,0,3,7,1,7,1987,70940.0,yes
52,yes,,1032.49,5,3,412,2,M,3,3,sales executive,2,single,8339.32,21682.23,9,yes,19,3,3,part time,0,,2,2,8,7,7,1971,100071.84,yes
39,no,travel_rarely,467.79,33,2,413,1,M,3,2,manufacturing director,3,single,3778.33,9823.67,0,desconocido,11,3,1,,0,,6,,8,1,7,1984,45340.0,yes
34,no,,876.98,9,3,414,4,M,3,3,healthcare representative,4,,7083.33,18416.67,0,desconocido,11,,4,part time,1,10,0,2,9,1,6,1989,85000.0,yes
38,no,,556.26,2,2,415,2,F,3,2,sales executive,1,,4492.84,11681.39,3,desconocido,15,3,4,,1,11,3,3,7,1,7,1985,53914.11,yes
36,no,travel_frequently,478.63,12,3,416,12,F,4,2,sales executive,1,married,3865.83,10051.17,2,no,16,3,4,part time,1,,2,2,15,6,13,1987,46390.0,yes
35,no,,553.33,1,3,417,4,F,2,2,laboratory technician,4,,4469.17,11619.83,0,no,12,3,2,part time,1,10,0,3,9,0,0,1988,53630.0,no
55,yes,,1582.77,13,4,418,1,M,4,4,sales executive,3,,12783.92,33238.2,6,desconocido,17,3,3,full time,0,,2,2,19,3,8,1968,153407.07,yes
34,no,,556.26,29,3,419,2,M,3,2,laboratory technician,3,,4492.84,11681.39,4,desconocido,13,3,1,part time,2,10,1,3,8,7,7,1989,53914.11,no
43,no,,421.06,6,3,420,1,F,2,2,research scientist,3,single,3400.83,8842.17,1,yes,14,3,1,part time,0,20,3,1,20,1,8,1980,40810.0,no
42,no,travel_rarely,1582.77,10,3,421,3,F,3,4,manager,1,married,12783.92,33238.2,0,desconocido,14,3,3,full time,1,21,5,3,20,0,9,1981,153407.07,no
26,no,travel_rarely,369.16,7,3,422,3,M,4,1,laboratory technician,1,single,4492.84,7752.33,0,no,12,3,4,full time,0,8,2,3,7,0,7,1997,35780.0,yes
29,yes,,1032.49,14,1,423,3,F,3,3,healthcare representative,4,single,8339.32,21682.23,0,yes,12,3,1,part time,0,,1,3,8,7,7,1994,100071.84,yes
54,no,,1787.81,1,3,424,4,F,3,4,research director,4,,4492.84,37544.0,6,desconocido,19,3,4,full time,0,29,3,2,20,12,7,1969,173280.0,no
55,no,,1582.77,1,4,425,2,M,4,4,research director,4,divorced,12783.92,33238.2,2,no,13,3,4,full time,2,31,4,4,7,0,0,1968,153407.07,yes
40,no,non-travel,556.26,9,4,426,3,M,3,2,laboratory technician,3,,4492.84,11681.39,3,no,11,3,3,part time,2,11,2,,8,0,7,1983,53914.11,yes
31,no,,1113.56,8,2,427,1,M,3,3,sales executive,4,divorced,8994.17,23384.83,1,desconocido,18,,1,full time,1,13,5,3,13,9,9,1992,107930.0,yes
46,yes,,1032.49,9,3,428,1,M,3,3,sales executive,4,divorced,8339.32,21682.23,4,no,11,3,1,,1,28,1,4,7,4,3,1977,53914.11,yes
45,no,travel_rarely,1119.55,20,3,429,2,M,1,3,healthcare representative,1,,9042.5,23510.5,2,yes,18,3,2,full time,1,,2,3,7,0,7,1978,108510.0,no
49,no,travel_rarely,1079.83,7,4,430,3,M,3,3,healthcare representative,2,divorced,4492.84,22676.33,3,desconocido,14,3,2,full time,2,29,3,3,8,0,7,1974,104660.0,no
29,no,travel_rarely,556.26,19,3,431,3,M,2,2,sales executive,3,,4492.84,11681.39,1,desconocido,14,3,3,part time,2,10,3,3,10,0,4,1994,53914.11,yes
29,yes,,243.7,1,4,432,1,M,2,1,research scientist,1,single,4492.84,5117.67,6,no,13,3,3,part time,0,,2,1,9,0,7,1994,23620.0,yes
29,no,,556.26,8,1,433,3,F,1,2,healthcare representative,1,,4492.84,11681.39,3,no,13,3,3,part time,1,9,3,3,7,0,7,1994,53914.11,yes
40,no,travel_rarely,1582.77,6,2,434,3,M,3,4,manager,4,single,12783.92,33238.2,1,yes,21,4,4,full time,0,21,2,3,21,7,7,1983,153407.07,yes
48,no,,664.34,16,4,435,3,F,3,2,sales executive,3,divorced,4492.84,13951.17,8,no,14,3,3,full time,1,18,2,,8,7,7,1975,64390.0,yes
53,yes,,1032.49,2,5,436,3,F,2,3,manufacturing director,4,married,4492.84,21682.23,0,desconocido,16,3,2,part time,1,,4,3,33,1,9,1970,100071.84,yes
44,no,,1973.98,7,3,437,2,F,3,5,research director,4,,4492.84,41453.67,0,yes,14,,4,,1,,4,2,22,1,10,1979,191324.62,no
45,no,,595.21,5,5,438,3,F,1,2,laboratory technician,1,,4492.84,12499.5,1,desconocido,14,3,1,full time,0,10,3,3,10,1,4,1978,57690.0,no
45,no,non-travel,452.42,26,3,439,1,M,2,2,sales executive,1,,3654.17,9500.83,1,desconocido,15,,1,,1,10,2,,10,4,5,1978,53914.11,no
34,no,travel_frequently,556.26,10,4,440,3,M,4,2,manufacturing director,4,,4492.84,11681.39,1,desconocido,13,3,1,part time,1,9,3,,9,7,2,1989,53914.11,yes
39,no,,556.26,10,5,441,2,M,3,2,manufacturing director,1,,4492.84,11681.39,2,desconocido,13,3,4,,3,,3,3,7,7,7,1984,53914.11,no
27,no,,419.51,36,3,442,36,M,2,1,laboratory technician,1,divorced,3388.33,8809.67,1,no,11,3,1,full time,2,7,3,3,7,0,7,1996,40660.0,yes
45,no,travel_rarely,556.26,2,2,443,4,F,2,2,manufacturing director,4,divorced,4492.84,11681.39,1,desconocido,19,3,1,,2,10,3,3,10,3,9,1978,53914.11,yes
44,no,,556.26,1,5,444,1,M,3,2,human resources,4,married,4492.84,11681.39,4,yes,11,3,3,,0,14,3,3,10,0,2,1979,53914.11,yes
25,no,,537.13,2,1,445,4,M,4,2,manufacturing director,3,divorced,4338.33,11279.67,1,desconocido,17,3,3,part time,2,7,6,3,7,0,7,1998,52060.0,no
49,no,,1582.77,1,3,446,3,M,3,4,manager,3,single,12783.92,33238.2,4,desconocido,14,3,1,full time,0,23,2,3,8,0,0,1974,153407.07,yes
48,yes,travel_frequently,273.93,7,2,447,4,F,3,1,sales representative,3,,2212.5,5752.5,2,desconocido,11,,3,,2,19,3,3,9,7,7,1975,53914.11,no
26,no,,265.16,7,3,448,4,M,3,1,laboratory technician,4,,2141.67,5568.33,1,no,20,4,3,part time,0,7,5,3,7,5,7,1997,25700.0,yes
44,no,travel_rarely,1032.49,2,3,449,3,F,4,3,healthcare representative,4,,8339.32,21682.23,1,desconocido,19,,2,part time,1,,2,3,8,6,7,1979,100071.84,yes
36,no,,464.49,2,4,450,3,F,3,2,sales representative,4,single,3751.67,9754.33,3,desconocido,15,,3,part time,0,17,2,2,13,6,7,1987,45020.0,yes
46,no,,556.26,13,4,451,3,M,3,2,healthcare representative,2,single,4492.84,11681.39,6,no,14,3,4,part time,0,19,3,3,10,0,9,1977,53914.11,yes
35,no,,556.26,27,4,452,4,M,3,2,manufacturing director,3,married,4492.84,11681.39,2,desconocido,16,3,2,part time,1,17,3,3,7,0,7,1988,53914.11,yes
30,no,travel_frequently,512.57,2,4,453,4,F,2,1,research scientist,1,,4140.0,10764.0,0,desconocido,16,3,4,,0,10,2,,9,0,7,1993,49680.0,no
30,no,,1032.49,15,2,454,3,M,2,3,sales executive,1,,8339.32,21682.23,2,no,11,3,1,part time,1,,2,3,7,1,7,1993,100071.84,yes
33,no,non-travel,531.04,2,3,455,4,F,3,2,sales executive,2,,4289.17,11151.83,8,no,15,3,4,part time,0,13,2,2,11,1,7,1990,51470.0,yes
32,no,,280.43,5,4,456,2,M,3,1,research scientist,2,single,2265.0,5889.0,2,no,14,3,2,part time,0,12,3,3,7,0,7,1991,27180.0,yes
43,no,travel_rarely,365.13,2,3,457,2,M,3,1,human resources,4,,2949.17,7667.83,0,no,13,3,2,,0,,5,3,9,1,8,1980,53914.11,no
31,no,travel_rarely,564.16,29,4,458,1,F,2,2,sales executive,4,,4556.67,11847.33,1,desconocido,14,3,1,full time,2,,3,3,12,5,7,1992,54680.0,yes
35,yes,,599.75,27,3,459,3,M,3,2,sales executive,4,,4844.17,12594.83,1,desconocido,18,3,4,,0,,2,3,10,7,7,1988,53914.11,no
35,no,non-travel,556.26,2,2,460,2,M,3,2,manufacturing director,4,divorced,4492.84,11681.39,2,no,14,3,3,,1,15,6,3,7,1,7,1988,53914.11,no
30,no,,997.39,10,3,461,1,F,3,3,manufacturing director,3,single,8055.83,20945.17,9,no,14,3,2,part time,0,9,3,3,7,0,2,1993,96670.0,no
46,yes,travel_rarely,556.26,19,2,462,4,F,3,2,healthcare representative,2,married,4492.84,11681.39,4,no,22,4,4,,1,13,2,4,9,3,7,1977,53914.11,no
45,no,non-travel,531.76,2,4,463,3,F,3,2,sales executive,3,married,4492.84,11167.0,4,desconocido,22,4,2,part time,2,10,3,4,8,5,7,1978,51540.0,no
43,no,travel_frequently,585.52,2,4,464,1,M,3,2,sales executive,4,married,4729.17,12295.83,1,desconocido,20,4,3,full time,1,7,5,3,7,7,7,1980,56750.0,no
46,yes,,754.62,10,3,465,3,F,3,3,sales executive,2,,6095.0,15847.0,5,desconocido,21,4,3,part time,3,14,2,3,8,0,7,1977,73140.0,yes
40,no,travel_rarely,1582.77,1,4,466,1,M,3,4,manager,1,,12783.92,33238.2,2,desconocido,11,3,1,,1,22,3,,19,11,16,1983,53914.11,yes
27,no,travel_rarely,556.26,2,2,467,1,F,4,2,sales executive,3,single,4492.84,11681.39,0,no,14,3,2,part time,0,9,5,2,8,0,7,1996,53914.11,no
42,no,,1032.49,6,3,468,3,M,3,3,research director,1,married,8339.32,21682.23,9,no,13,3,2,,1,18,3,4,13,5,7,1981,53914.11,yes
26,no,travel_frequently,290.04,6,3,469,3,M,4,1,laboratory technician,4,married,2342.59,6090.75,0,no,18,3,1,part time,1,8,3,3,7,7,7,1997,28111.13,yes
28,no,travel_frequently,556.26,1,2,470,3,M,2,2,sales executive,4,married,4492.84,11681.39,1,desconocido,12,3,3,part time,1,7,2,3,7,0,7,1995,53914.11,yes
47,no,,556.26,14,4,471,3,M,3,2,research scientist,2,married,4492.84,11681.39,8,desconocido,18,3,3,part time,1,,4,4,8,1,7,1976,53914.11,no
34,no,travel_rarely,1032.49,13,4,472,4,M,3,3,sales executive,3,divorced,8339.32,21682.23,1,no,18,3,3,part time,1,9,2,2,8,1,1,1989,100071.84,yes
26,no,,290.04,1,3,473,3,M,3,1,laboratory technician,1,single,2342.59,6090.75,0,no,13,3,4,part time,0,8,6,,7,7,6,1997,28111.13,yes
27,no,travel_rarely,556.26,9,3,474,4,M,3,2,sales executive,4,,4492.84,11681.39,1,desconocido,14,3,1,part time,0,,5,,7,0,7,1996,53914.11,no
31,yes,travel_frequently,556.26,26,4,475,1,M,3,2,sales executive,4,,4492.84,11681.39,1,yes,11,3,3,part time,0,10,4,3,10,0,8,1992,53914.11,yes
33,no,travel_frequently,556.26,7,2,476,4,M,3,2,healthcare representative,3,divorced,4492.84,11681.39,1,desconocido,20,,3,,3,9,2,3,9,2,8,1990,53914.11,yes
31,no,,1032.49,10,3,477,3,F,3,3,research director,3,married,8339.32,21682.23,4,no,20,4,3,part time,1,13,2,4,11,4,8,1992,100071.84,yes
35,no,,525.98,9,4,478,2,M,3,2,research scientist,3,,4492.84,11045.67,1,no,19,3,2,part time,0,10,5,3,10,0,8,1988,50980.0,yes
33,no,travel_rarely,556.26,15,2,479,2,F,3,2,healthcare representative,4,married,4492.84,11681.39,0,yes,13,,1,part time,1,,6,3,9,8,1,1990,53914.11,yes
39,no,travel_rarely,556.26,24,1,480,1,M,3,2,research scientist,4,single,4492.84,11681.39,7,no,13,,1,,0,,2,3,7,1,7,1984,53914.11,no
36,no,travel_rarely,1032.49,46,3,481,46,F,2,3,sales executive,4,married,4492.84,21682.23,0,no,19,3,3,part time,2,10,2,3,9,3,4,1987,100071.84,yes
41,no,travel_rarely,1400.08,28,4,482,1,F,2,4,manufacturing director,2,married,11308.33,29401.67,0,no,23,,3,full time,1,21,3,3,20,0,10,1982,135700.0,yes
34,no,,692.51,28,3,483,4,F,2,2,sales executive,3,married,4492.84,14542.67,1,no,21,4,4,full time,2,8,2,3,8,1,7,1989,67120.0,no
38,no,travel_rarely,556.26,10,2,484,1,F,3,2,sales executive,4,married,4492.84,11681.39,1,no,11,3,3,,1,10,1,3,10,1,9,1985,53914.11,yes
39,no,travel_rarely,1030.82,6,1,485,4,M,2,3,healthcare representative,1,,8325.83,21647.17,4,desconocido,15,3,1,part time,1,,5,3,7,1,7,1984,99910.0,yes
34,no,travel_rarely,1032.49,7,4,486,1,F,3,3,research director,2,single,4492.84,21682.23,0,no,11,,3,part time,0,,4,3,12,2,11,1989,100071.84,no
44,no,travel_rarely,1057.33,7,4,487,1,F,2,3,healthcare representative,4,married,8540.0,22204.0,3,desconocido,14,,4,full time,1,24,4,3,22,5,17,1979,102480.0,yes
46,no,,556.26,5,4,488,1,M,3,2,sales executive,4,single,4492.84,11681.39,4,desconocido,21,,3,part time,0,14,4,3,9,0,8,1977,53914.11,yes
41,no,travel_frequently,1582.77,10,3,489,4,M,2,4,manager,1,divorced,4492.84,33238.2,4,desconocido,13,3,2,full time,1,,2,2,7,7,7,1982,153407.07,no
39,no,,1128.52,2,4,490,3,F,3,3,healthcare representative,3,single,9115.0,23699.0,0,no,25,4,4,,0,20,1,3,19,11,8,1984,53914.11,no
42,no,travel_rarely,267.53,2,3,491,4,F,2,1,laboratory technician,1,divorced,2160.83,5618.17,0,yes,11,3,3,part time,1,10,4,3,9,7,8,1981,25930.0,yes
33,no,travel_frequently,1225.51,5,4,492,4,F,3,3,manager,2,married,9898.33,25735.67,6,desconocido,11,,2,,2,12,2,3,10,8,8,1990,53914.11,yes
35,no,travel_rarely,835.2,5,4,493,3,M,3,3,manufacturing director,2,single,6745.83,17539.17,0,no,13,3,4,part time,0,17,5,3,16,0,13,1988,80950.0,yes
33,yes,travel_rarely,1032.49,15,1,494,2,M,3,3,manager,3,married,4492.84,21682.23,7,desconocido,12,3,4,part time,0,15,2,4,7,7,7,1990,100071.84,yes
